City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,codrington,-38.2667,141.9667,20.75,60,100,6.44,AU,2025-01-25 02:06:01
356,conduaga,8.862,117.4893,28.95,71,100,0.49,PH,2025-01-25 02:01:34
357,beitbridge,-22.2167,30,23.7,70,0,5.34,ZW,2025-01-25 02:06:01
358,tarata,-17.6167,-66.0167,17.68,68,62,2.59,BO,2025-01-25 02:06:01
359,salahonda,2.1019,-78.7217,26.78,79,98,4.05,CO,2025-01-25 02:06:02
360,zambezi,-13.5432,23.1047,18.18,97,100,1.08,ZM,2025-01-25 02:06:02
361,vallenar,-28.5708,-70.7581,24.03,44,0,1.31,CL,2025-01-25 02:06:02
362,watseka,40.7762,-87.7364,-6.62,57,100,5.48,US,2025-01-25 02:06:02
363,linjiang,41.8069,126.9078,-7.67,62,4,0.89,CN,2025-01-25 02:06:02
364,mount pearl,47.5166,-52.7813,-3.81,92,100,8.75,CA,2025-01-25 02:02:04
365,smidovich,48.6,133.8167,-19.86,96,54,0.42,RU,2025-01-25 02:06:03
366,prado,-17.3411,-39.2208,24.67,91,1,2.51,BR,2025-01-25 02:06:03
367,marrakesh,31.6315,-8.0083,11.04,58,0,1.03,MA,2025-01-25 02:06:04
368,siwana,25.6333,72.4167,12.04,29,0,2.56,IN,2025-01-25 02:06:04
369,cuito,-12.3833,16.9333,15.2,99,100,2.21,AO,2025-01-25 02:06:04
370,dazhong,33.1997,120.4578,8.95,54,100,7.34,CN,2025-01-25 02:06:04
371,isperih,43.7167,26.8333,4.74,94,40,3.4,BG,2025-01-25 02:06:04
372,kasongo,-4.45,26.6667,19.25,98,100,1.2,CD,2025-01-25 02:06:05
373,kasongo-lunda,-6.4667,16.8167,19.22,97,100,0.33,CD,2025-01-25 02:06:05
374,antofagasta,-23.65,-70.4,19.6,84,33,1.57,CL,2025-01-25 02:06:05
375,kogalym,62.2654,74.4791,-10.18,94,100,6.45,RU,2025-01-25 02:06:06
376,mahina,-17.5065,-149.489,30.87,62,20,2.57,PF,2025-01-25 02:06:06
377,polatsk,55.4859,28.7756,1.64,80,100,3.31,BY,2025-01-25 02:06:06
378,aridaia,40.9731,22.0564,9.52,67,30,3.87,GR,2025-01-25 02:06:06
379,saint-jean-de-monts,46.7833,-2.0667,11.61,92,100,10.23,FR,2025-01-25 02:06:07
380,port blair,11.6667,92.75,24.02,88,40,1.03,IN,2025-01-25 02:06:07
381,labrador city,52.9463,-66.9114,-17.68,72,100,8.49,CA,2025-01-25 02:06:07
382,fisterra,42.9049,-9.2629,13.35,80,100,9.04,ES,2025-01-25 02:06:07
383,osakarovka,50.565,72.5692,-20.39,76,100,3.08,KZ,2025-01-25 02:06:07
384,nagqu,31.5,92,-12.54,21,0,4.18,CN,2025-01-25 02:06:08
385,westport,41.1415,-73.3579,-2.36,58,0,2.57,US,2025-01-25 02:06:08
386,bundaberg north,-24.8551,152.3425,27.56,80,100,4.99,AU,2025-01-25 02:06:08
387,gorontalo,0.5412,123.0595,27.43,90,93,0.93,ID,2025-01-25 02:02:55
388,ulanhot,46.0833,122.0833,-6.62,48,5,1.57,CN,2025-01-25 02:06:09
389,hede,33.7681,120.2517,7.88,57,100,7.06,CN,2025-01-25 02:06:09
390,carrizo springs,28.5219,-99.8606,6.97,39,0,2.57,US,2025-01-25 02:06:09
391,island harbour,50.724,-1.2758,8.34,90,100,1.34,GB,2025-01-25 02:06:10
392,ratnagiri,16.9833,73.3,23.01,42,50,2.21,IN,2025-01-25 02:06:10
393,cidade velha,14.9167,-23.6167,21.26,60,20,9.77,CV,2025-01-25 02:06:10
394,alaghsas,17.0187,8.0168,18.51,22,22,5.65,NE,2025-01-25 02:06:10
395,mulayjah,27.271,48.4242,13.13,55,99,2.62,SA,2025-01-25 02:06:10
